1,1344,,,,,4.75,7.0,4.8,4.25,6.25,5.67,6.5
1,1345,,,,,5.75,6.8,,6.25,5.0,,6.75
1,1346,,,,,4.5,5.6,3.0,3.75,5.0,4.92,6.0
1,1347,,,,,4.0,6.2,7.6,5.75,6.75,6.08,5.75
1,1348,,,,,3.5,5.8,3.4,3.75,6.25,5.42,6.25
1,1349,,,,,6.0,7.4,7.6,5.5,7.75,6.67,6.75
1,1350,,,,,3.75,6.4,3.6,2.75,4.75,3.33,2.5
1,1351,,,,,6.0,7.4,8.6,5.25,8.0,5.33,2.75
1,1352,,,,,6.75,5.8,3.8,4.75,5.25,4.17,2.5
1,1353,,,,,6.25,6.4,8.8,4.25,7.5,5.42,4.5
1,1354,,,,,5.25,5.6,7.2,3.75,6.0,4.83,4.75
1,1355,,,,,6.25,6.0,,5.0,2.75,,4.25
1,1356,,,,,5.25,6.4,9.0,4.75,6.0,4.5,2.75
1,1357,,,,,6.0,7.2,7.6,4.25,2.5,3.83,4.75
1,1358,,,,,4.5,7.0,6.4,4.0,6.75,4.42,2.5
1,1359,,,,,3.25,6.6,4.0,4.75,6.5,5.83,6.25
1,1360,,,,,6.25,7.4,,3.0,6.25,,2.75
1,1361,,,,,5.0,7.2,5.0,4.25,7.5,6.5,7.75
1,1362,,,,,6.0,5.4,6.8,2.5,4.25,4.25,6.0
1,1363,,,,,5.5,7.2,8.6,6.0,5.75,5.67,5.25
1,1364,,,,,5.25,4.8,,3.5,2.75,,2.75
1,1365,,,,,6.75,6.8,8.6,4.0,8.0,5.58,4.75
1,1366,,,,,4.5,6.0,5.4,3.25,5.25,4.75,5.75
1,1367,,,,,4.0,5.8,5.4,5.0,5.5,5.33,5.5
1,1368,,,,,7.0,7.6,8.0,3.5,6.25,4.92,5.0
1,1369,,,,,6.5,7.4,8.6,5.25,8.25,6.25,5.25
1,1370,,,,,4.0,5.6,3.2,3.0,4.25,3.83,4.25
1,1371,,,,,8.25,7.8,8.4,5.0,4.0,4.92,5.75
1,1372,,,,,7.25,6.4,4.4,3.0,5.25,4.75,6.0
